id,title,description,depends_on,actor,goal,activity,step,pattern,effort,reach,impact,confidence,bv,tc,rr,js
US-010,ClimateCard + AxisRail: 5 Achsen mit Links/Rechts‑Labels und Marker (0..1),ClimateCard + AxisRail: 5 Achsen mit Links/Rechts‑Labels und Marker (0..1).,US-005,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Klima‑Achsen lesen,UI/Component,3,4,5,4,80,3,3,3
US-011,MetaBadgesRow: intensity/tempo + shadow_confirmed ab confidence >= 0.65,MetaBadgesRow: intensity/tempo + shadow_confirmed ab confidence >= 0.65.,US-010,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Klima‑Achsen lesen,UI/Component,2,4,4,4,64,3,3,2
US-012,DerivedStatsCard: 4 Sekundärwerte als StatPills (0..100),DerivedStatsCard: 4 Sekundärwerte als StatPills (0..100).,US-006,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Abgeleitete Werte sehen,UI/Component,2,4,5,4,80,3,3,2
US-013,"ArchetypeStoryCard: optional rendern, Formulierung als Modus/Anteil (nie Label)","ArchetypeStoryCard: optional rendern, Formulierung als Modus/Anteil (nie Label).",US-005,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Archetypen & Story lesen (optional),UI/Optional,2,4,4,4,64,3,3,2
US-014,Footer CTAs: mindestens „Link kopieren“ (optional „Teilen“),Footer CTAs: mindestens „Link kopieren“ (optional „Teilen“).,US-003,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Teilen / Link kopieren,UI/CTA,2,4,5,4,80,3,3,2
US-015,"AfterQuizDeltaBanner: Top‑Mover (1–3) anzeigen, 8–12s sichtbar, manuell schließbar","AfterQuizDeltaBanner: Top‑Mover (1–3) anzeigen, 8–12s sichtbar, manuell schließbar.",US-016,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,After‑Quiz Deltas erkennen,UX/Delta,3,4,5,4,80,4,3,3
US-016,"Movers‑Berechnung: bevorzugt last_delta, sonst Snapshot‑Diff (robust)","Movers‑Berechnung: bevorzugt last_delta, sonst Snapshot‑Diff (robust).",US-005,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,After‑Quiz Deltas erkennen,Domain/Delta,3,4,5,4,80,4,3,3
US-017,Delta‑Driven Animation System: duration clamp + reduced motion (<=250ms),Delta‑Driven Animation System: duration clamp + reduced motion (<=250ms).,US-016,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Motion & Reduced‑Motion,Motion,5,4,4,3,48,3,4,5
US-018,Highlight Rules: Movers Outline Glow (1s) + Delta‑Chip (2.5s),Highlight Rules: Movers Outline Glow (1s) + Delta‑Chip (2.5s).,US-017,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,After‑Quiz Deltas erkennen,Motion,3,4,4,3,48,3,4,3
US-019,Ornament Layer: Corner‑Ornaments + Constellation‑Watermark (Opacity 4–8%),Ornament Layer: Corner‑Ornaments + Constellation‑Watermark (Opacity 4–8%).,US-001,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Ornament‑Assets,UI/Ornament,3,3,4,3,36,3,3,3
US-020,"A11y Pass: Fokus, Keyboard, Tooltips, Kontrast (WCAG AA)","A11y Pass: Fokus, Keyboard, Tooltips, Kontrast (WCAG AA).",US-003;US-009;US-010;US-014,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Accessibility (WCAG AA),A11y,3,4,5,4,80,4,3,3
US-025,ChangeLogAccordion minimal: Banner‑CTA öffnet Details (v1),ChangeLogAccordion minimal: Banner‑CTA öffnet Details (v1).,US-015,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,After‑Quiz Deltas erkennen,UX/ChangeLog,2,4,4,4,64,3,3,2
US-026,Result‑Page CTA: „Deinen Charakterbogen ansehen“ + Query invalidation,Result‑Page CTA: „Deinen Charakterbogen ansehen“ + Query invalidation.,US-005,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Character Sheet öffnen,UX/Integration,2,4,4,4,64,4,3,2
US-021,E2E Test: Quiz complete → /character → Banner + neue Werte,E2E Test: Quiz complete → /character → Banner + neue Werte.,US-015;US-026,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Tests (Unit/Component/E2E),QA/E2E,5,3,5,3,45,5,5,5
US-022,"Component Test: Render ohne optionale Felder (archetype_mix, narrative_snippet, last_delta)","Component Test: Render ohne optionale Felder (archetype_mix, narrative_snippet, last_delta).",US-003;US-005,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Tests (Unit/Component/E2E),QA/Component,2,3,5,4,60,3,5,2
US-029,Responsive Snapshot Baseline (Desktop/Mobile) + manuelle Screenshots,Responsive Snapshot Baseline (Desktop/Mobile) + manuelle Screenshots.,US-003,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Tests (Unit/Component/E2E),QA/Visual,2,4,4,4,64,3,3,2
US-023,"Performance: SVG optimiert, non‑critical Assets lazy‑loaded","Performance: SVG optimiert, non‑critical Assets lazy‑loaded.",US-019,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Performance,Performance,2,3,4,4,48,3,3,2
US-028,Lighthouse Accessibility Gate (>=90) für /character,Lighthouse Accessibility Gate (>=90) für /character.,US-020,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Tests (Unit/Component/E2E),QA/A11y,3,3,5,3,45,5,5,3
US-027,"Handoff Paket: Tokens, Komponentenliste, Ornament‑Assets, Copy‑Strings, QA‑Checklist","Handoff Paket: Tokens, Komponentenliste, Ornament‑Assets, Copy‑Strings, QA‑Checklist.",US-001;US-002;US-003;US-019,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Handoff & Dokumentation,Docs/Handoff,2,2,4,4,32,3,4,2
